Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
6.50231,0,-0.00305176,0.00610352,-0.00305176,0,-0.00305176,0.000305176,0,0.519104,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.51577,0.00305176,-0.00305176,0.314331,0,-0.00610352,-0.00305176,0.000305176,-0.130005,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.51937,0.00305176,-0.00305176,0.405884,0,-0.00610352,-0.00305176,0.000305176,-0.130005,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.52885,0.00915527,-0.00915527,0.863647,0,-0.00305176,-0.00305176,0.000305176,-0.130005,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.53656,0.012207,-0.012207,1.28174,0,-0.00305176,-0.00305176,0.000305176,-0.130005,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.54195,0.0183105,-0.012207,1.58691,0,-0.00610352,-0.00305176,0.000305176,0.129089,-0.390015,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.54556,0.0183105,-0.0152588,1.74561,0,-0.00610352,-0.00305176,0.000305176,0.129089,-0.390015,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.55123,0.0244141,-0.0183105,2.07825,0,-0.00915527,-0.00305176,0.000305176,0.129089,-0.390015,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.5636,0.0366211,-0.0274658,3.302,0,-0.00610352,-0.00305176,0.000305176,0,-0.130005,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.57078,0.0457764,-0.0305176,3.83911,0,-0.00610352,-0.00610352,0.000305176,0,-0.130005,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.58167,0.0579834,-0.0427246,4.88892,-0.00305176,-0.00610352,-0.00305176,0.000305176,0.129089,0.129089,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.59086,0.0671387,-0.0488281,5.5542,0,-0.00610352,0,0.000305176,0.129089,0.129089,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.60218,0.0762939,-0.0579834,6.48193,0,-0.00305176,0,0.000305176,0.390015,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.60754,0.0793457,-0.0610352,6.90613,0,-0.00305176,-0.00305176,0.000305176,0.390015,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.61117,0.0823975,-0.0640869,7.04346,0,-0.00305176,-0.00305176,0.000305176,0.390015,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.61668,0.0854492,-0.0671387,7.30286,0,-0.00305176,-0.00305176,0.000305176,0.390015,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.62435,0.0915527,-0.0701904,7.78809,0,-0.00305176,-0.00305176,0.000305176,0,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.62796,0.0915527,-0.0701904,8.01086,-0.00305176,0,-0.00305176,0.000305176,0,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.64346,0.100708,-0.0762939,8.7738,0,-0.00610352,-0.00305176,0.000305176,0.259094,-0.130005,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00610352,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.64724,0.100708,-0.0762939,8.85315,0,-0.00610352,-0.00305176,0.000305176,0.259094,-0.130005,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00610352,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.66247,0.106812,-0.0793457,9.39941,0,-0.00915527,-0.00305176,0.000305176,-0.130005,0.129089,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00610352,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.66978,0.109863,-0.0793457,9.60999,0,-0.00305176,-0.00305176,0.000305176,-0.130005,0.129089,2.08435,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00610352,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.67896,0.109863,-0.0793457,9.78088,0,-0.00610352,-0.00305176,0.000305176,-0.130005,0.129089,0.32959,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00610352,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.6943,0.112915,-0.0823975,10.0281,0,-0.00915527,-0.00610352,0.000305176,-0.390015,0.259094,0.0671387,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,-0.00610352,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.70374,0.112915,-0.0823975,10.1227,-0.00305176,-0.00610352,-0.00305176,0.000305176,0,-0.130005,0.0671387,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,-0.00610352,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.71282,0.112915,-0.0823975,10.1868,0,-0.00610352,-0.00305176,0.000305176,0,-0.130005,0.0183105,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,-0.00610352,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
6.71951,0.112915,-0.0823975,10.202,0,-0.00305176,-0.00305176,0.000305176,0,-0.130005,0.00915527,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,-0.00610352,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
