Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
1.11393,0.0152588,-0.00305176,1.1322,0,-0.00305176,-0.00305176,0.000305176,0,0,4.06189,189.995,189.995,189.995,189.995,0,-0.00305176,0,0,0,0,0,0,0,11.8073,nan,nan,0,1
1.12007,0.152588,0.00305176,9.79309,0,0,0,0.000305176,0.129089,0,4.05884,189.995,189.995,190.997,190.997,-0.00305176,-0.0183105,-0.00305176,-0.00305176,-0.00305176,-0.00915527,0,0,0,11.8286,nan,nan,0,0
1.15278,0.149536,0,9.79004,0,-0.00305176,-0.00610352,0.000305176,0,0,4.05884,189.995,189.995,190.997,189.995,-0.00305176,-0.0183105,-0.00305176,-0.00305176,-0.00305176,-0.00610352,0,0,0,11.8225,nan,nan,0,0
1.1599,0.149536,0,9.79004,0,-0.00305176,-0.00610352,0.000305176,0,0,4.05884,189.995,189.995,190.997,189.995,-0.00305176,-0.0183105,-0.00305176,-0.00305176,-0.00305176,-0.00610352,0,0,0,11.8195,nan,nan,0,0
1.17443,0.149536,-0.00305176,9.78699,0,-0.00305176,0,0.000305176,-0.130005,0,4.05884,189.995,189.995,190.997,189.995,-0.00305176,-0.0183105,-0.00305176,-0.00305176,-0.00305176,-0.00305176,-0.00305176,0,0,11.8164,nan,nan,0,0
1.17891,0.152588,-0.00305176,9.78699,0,-0.00305176,-0.00305176,0.000305176,-0.130005,0,4.05884,189.995,189.995,190.997,189.995,-0.00305176,-0.0183105,-0.00305176,-0.00305176,-0.00305176,-0.00305176,-0.00305176,0,0,11.8164,nan,nan,0,0
1.19784,0.152588,-0.00610352,9.78699,0,0,-0.00305176,0.0012207,0,0,4.06189,188.997,188.997,189.995,189.995,-0.00305176,-0.0183105,-0.00305176,-0.00305176,-0.00305176,0.012207,0,0,0,11.7676,nan,nan,0,0
1.20656,0.152588,-0.00610352,9.78699,0,0,0,0.0012207,0,0,4.06189,188.997,188.997,189.995,189.995,-0.00305176,-0.0183105,-0.00305176,-0.00305176,-0.00305176,0.012207,0,0,0,11.7645,nan,nan,0,0
1.21626,0.152588,-0.00610352,9.78699,0.00305176,-0.00305176,0,0.000305176,-0.130005,-0.130005,4.06189,189.995,189.995,190.997,189.995,-0.00305176,-0.0183105,-0.00305176,0,0,-0.00610352,0,0,0,11.8195,nan,nan,0,0
1.23768,0.152588,-0.00610352,9.78699,0,0,-0.00305176,0.000305176,0.130005,-0.260925,4.06189,189.995,189.995,190.997,189.995,-0.00305176,-0.0183105,-0.00305176,0,0,-0.00610352,0,0,0,11.8164,nan,nan,0,0
