Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
0.099275,-0.421143,-9.82666,-0.375366,-0.0244141,-0.00305176,-0.00610352,0.796204,0,0.389099,3.66821,0.00457764,0.00457764,0.00457764,0.00457764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.103004,-0.421143,-9.82361,-0.375366,-0.0244141,-0.00305176,-0.00305176,0.796204,0,0.389099,3.66821,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.109906,-0.418091,-9.82361,-0.375366,-0.0213623,-0.00610352,0,0.776978,0,0.129089,3.66821,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.113918,-0.418091,-9.82361,-0.375366,-0.0213623,-0.00610352,0,0.776978,0,0.129089,3.66821,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.12,-0.418091,-9.82056,-0.375366,-0.0213623,-0.00610352,0,0.776978,0,0.129089,3.66821,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.12371,-0.418091,-9.82056,-0.375366,-0.0213623,-0.00610352,0,0.776978,0,0.129089,3.66821,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.127155,-0.418091,-9.82056,-0.375366,-0.0183105,-0.00610352,0,0.776978,-0.130005,0,3.66821,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.132617,-0.415039,-9.8175,-0.372314,-0.0183105,-0.00610352,0.00305176,0.783997,-0.130005,0,3.66211,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.138505,-0.415039,-9.8175,-0.372314,-0.0152588,-0.00610352,0,0.783997,-0.130005,0,3.66211,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.143018,-0.415039,-9.8175,-0.372314,-0.0152588,-0.00915527,-0.00305176,0.783997,-0.130005,0,3.66211,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.148438,-0.411987,-9.8175,-0.372314,-0.00915527,-0.00915527,-0.00305176,0.783997,0,0,3.66211,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.152494,-0.411987,-9.8175,-0.372314,-0.00915527,-0.00915527,-0.00305176,0.783997,0,0,3.66211,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.163708,-0.405884,-9.8175,-0.369263,-0.00915527,-0.00305176,0,0.778198,0,0,3.66211,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.169386,-0.402832,-9.8175,-0.369263,-0.00610352,-0.00610352,-0.00305176,0.778198,0,-0.130005,3.66211,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.174629,-0.39978,-9.82056,-0.369263,-0.00610352,-0.00305176,-0.00305176,0.780029,0,-0.130005,3.66821,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.190316,-0.387573,-9.82361,-0.366211,0,-0.00610352,0,0.780029,0,-0.130005,3.66211,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.195961,-0.384521,-9.82361,-0.363159,0,-0.00610352,0,0.783997,0,-0.130005,3.66821,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.204098,-0.378418,-9.82666,-0.363159,0.00305176,-0.00305176,0,0.783997,0,-0.130005,3.66821,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.211779,-0.372314,-9.82666,-0.363159,0.00915527,-0.00610352,0.00305176,0.783997,0,0.259094,3.66821,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.219102,-0.369263,-9.82971,-0.363159,0.00915527,-0.00915527,0.00305176,0.772095,0,0.259094,3.66821,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.224867,-0.363159,-9.83276,-0.363159,0.012207,-0.00915527,0,0.772095,0,0.259094,3.66211,0.00457764,0.00457764,0.00457764,0.00457764,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
