Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
4.42658,-0.012207,-0.00305176,0.0213623,0,0,-0.00305176,0.000305176,0.129089,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,0,0,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.43223,-0.0488281,-0.00305176,0.0915527,0,-0.00305176,-0.00610352,0.000305176,0.129089,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,0,0,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.43558,-0.0762939,-0.00305176,0.146484,0,-0.00305176,-0.00610352,0.000305176,0.129089,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,0,0,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.44398,-0.27771,-0.00610352,0.55542,-0.00305176,-0.00305176,0,0.000305176,0.129089,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.4474,-0.332642,-0.00915527,0.65918,-0.00305176,-0.00305176,0.00305176,0.000305176,0.129089,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.45503,-0.57373,-0.012207,1.14746,-0.00610352,0,0.00610352,0.000305176,0.129089,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.00305176,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.45842,-0.640869,-0.0152588,1.28174,-0.00610352,0.00305176,0.00305176,0.000305176,0.129089,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.00305176,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.4653,-0.854492,-0.0183105,1.70898,-0.00610352,0,0.00305176,0.000305176,0,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.46929,-0.930786,-0.0213623,1.85852,-0.00305176,0,0.00305176,0.000305176,0,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.00610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.47863,-1.23901,-0.0274658,2.47498,-0.00305176,-0.00610352,0.00305176,0.000305176,0,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.00915527,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.48238,-1.31836,-0.0305176,2.63367,-0.00305176,-0.00915527,0.00305176,0.000305176,0,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.012207,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.49529,-1.71814,-0.0396729,3.43323,-0.00305176,-0.0152588,0.00610352,0.000305176,0.129089,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.0183105,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.50052,-2.03552,-0.0457764,4.06494,-0.00305176,-0.012207,0.00610352,0.000305176,0.129089,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.0244141,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.51253,-2.49023,-0.0549316,4.97131,-0.00305176,-0.012207,0,0.000305176,-0.130005,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.0366211,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.51651,-2.56348,-0.0579834,5.11475,-0.00305176,-0.012207,0,0.000305176,-0.130005,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.0396729,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.52222,-2.84119,-0.0610352,5.67017,-0.00305176,-0.0152588,-0.00305176,0.000305176,-0.130005,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.0488281,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.52656,-2.97546,-0.0640869,5.93262,-0.00305176,-0.0152588,0,0.000305176,-0.130005,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.0518799,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.53233,-3.16162,-0.0671387,6.30798,-0.00305176,-0.012207,-0.00305176,0.000305176,-0.130005,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.0610352,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.5401,-3.39355,-0.0701904,6.7627,0,-0.0152588,-0.00610352,0.000305176,-0.130005,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.0732422,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.54372,-3.44543,-0.0701904,6.87256,0,-0.0183105,-0.00305176,0.000305176,-0.130005,0,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.0732422,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.55091,-3.69568,-0.0762939,7.36389,-0.00305176,-0.0152588,-0.00305176,0.000305176,-0.390015,0.129089,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.088501,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.5605,-3.86658,-0.0762939,7.70569,0,-0.0183105,-0.00305176,0.000305176,-0.390015,0.129089,4.15649,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.100708,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.57916,-4.20227,-0.0823975,8.37097,0.00305176,-0.0183105,-0.00610352,0.000305176,0.129089,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.131226,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.5828,-4.22668,-0.0854492,8.42285,0.00305176,-0.0183105,-0.00610352,0.000305176,0.129089,0,4.15344,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.131226,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.59019,-4.32129,-0.0854492,8.60901,0.00305176,-0.0244141,-0.00610352,0.000305176,-0.26001,0,3.77197,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.143433,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.5949,-4.34265,-0.0854492,8.65173,0,-0.0213623,-0.00305176,0.000305176,-0.26001,0,3.77197,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,0.146484,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.60225,-4.43115,-0.088501,8.82874,-0.00305176,-0.00915527,0,0.000305176,-0.26001,0,0.891113,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,0.161743,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.60609,-4.46167,-0.088501,8.88672,-0.00305176,-0.00610352,-0.00305176,0.000305176,-0.26001,0,0.131226,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,0.167847,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.60978,-4.48608,-0.088501,8.9386,-0.00305176,-0.00915527,-0.00305176,0.000305176,0,0,0.131226,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,0.17395,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.6136,-4.50745,-0.0915527,8.98438,-0.00305176,-0.00915527,-0.00305176,0.000305176,0,0,0.131226,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,0.180054,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.61944,-4.53491,-0.0915527,9.03931,-0.00305176,-0.00915527,0,0.000305176,0,0,0.131226,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,0.186157,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.62346,-4.54102,-0.0915527,9.05457,-0.00305176,-0.012207,0,0.000305176,0,0,0.131226,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,0.189209,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.62899,-4.56543,-0.0915527,9.10645,-0.00305176,-0.012207,0,0.000305176,0.129089,0,0.0305176,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,0.201416,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.63303,-4.57153,-0.0915527,9.11865,-0.00305176,-0.00915527,0,0.000305176,0.129089,0,0.00915527,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,0.204468,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.63976,-4.58069,-0.0915527,9.14001,-0.00610352,-0.00915527,0,0.000305176,0.129089,0,0.00915527,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,0.210571,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.6435,-4.58374,-0.0915527,9.14612,-0.00610352,-0.00915527,0,0.000305176,0,0,0.00915527,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,0.213623,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
4.64733,-4.58679,-0.0915527,9.15222,-0.00610352,-0.00915527,0,0.000305176,0,0,0.00915527,0.00457764,0.00457764,0.00457764,0.00457764,-0.00610352,0.216675,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
