Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
0.105178,0.0640869,-0.100708,9.79919,-0.00305176,-0.00610352,-0.00305176,0.000305176,0,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.114759,0.0671387,-0.0976562,9.79919,0,-0.00305176,-0.00915527,0.000305176,0,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.12069,0.0671387,-0.0976562,9.79919,0,-0.00610352,-0.00610352,0.000305176,0,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.124384,0.0671387,-0.0976562,9.79919,-0.00305176,-0.00610352,-0.00305176,0.000305176,0,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.128164,0.0671387,-0.0976562,9.79919,-0.00305176,-0.00610352,-0.00305176,0.000305176,0,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.135088,0.0671387,-0.0946045,9.79614,-0.00305176,-0.00610352,-0.00305176,0.000305176,0,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.144154,0.0671387,-0.0946045,9.79614,-0.00305176,-0.00610352,0,0.000305176,0,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.152913,0.0671387,-0.0946045,9.79614,-0.00305176,-0.00305176,-0.00305176,0.000305176,0,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.182153,0.0701904,-0.100708,9.79919,-0.00305176,-0.00915527,-0.00305176,0.000305176,0,-0.130005,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.193283,0.0732422,-0.10376,9.79919,-0.00305176,-0.00610352,-0.00305176,0.000305176,0,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.211619,0.0732422,-0.10376,9.79919,0,-0.012207,-0.00305176,0.000305176,0,-0.130005,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.223722,0.0762939,-0.10376,9.79919,0,-0.00915527,-0.00305176,0.000305176,0,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.232383,0.0762939,-0.10376,9.80225,0,-0.00610352,-0.00305176,0.000305176,0,0,0.524902,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.236443,0.0762939,-0.10376,9.80225,-0.00305176,-0.00610352,0,0.000305176,0,0,0.524902,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.252833,0.0762939,-0.10376,9.8053,-0.00305176,-0.00610352,0,0.000305176,-0.26001,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.261602,0.0762939,-0.10376,9.8053,-0.00305176,-0.00610352,-0.00610352,0.000305176,0.389099,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.265182,0.0762939,-0.10376,9.8053,-0.00305176,-0.00610352,-0.00305176,0.000305176,0.389099,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.272873,0.0762939,-0.10376,9.8053,-0.00305176,-0.00610352,-0.00305176,0.000305176,0.389099,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.277182,0.0762939,-0.10376,9.8053,-0.00305176,-0.00610352,-0.00305176,0.000305176,0.389099,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.282935,0.0732422,-0.10376,9.8053,-0.00305176,-0.00610352,-0.00610352,0.000305176,0,0.129089,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.295871,0.0732422,-0.10376,9.8053,-0.00305176,-0.00610352,0,0.000305176,0,0.129089,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.306459,0.0732422,-0.10376,9.8053,0,-0.00610352,0,0.000305176,0.259094,0.259094,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.31772,0.0701904,-0.10376,9.8053,0,-0.00610352,-0.00610352,0.000305176,0.259094,0.259094,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.325194,0.0701904,-0.10376,9.80225,0,-0.00915527,-0.00305176,0.000305176,0,0.129089,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.33324,0.0701904,-0.10376,9.80225,-0.00305176,-0.00610352,-0.00305176,0.000305176,0,0.129089,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.343361,0.0701904,-0.106812,9.80225,0,-0.00610352,-0.00305176,0.000305176,-0.520935,-0.520935,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.349184,0.0701904,-0.106812,9.79919,-0.00305176,-0.00915527,-0.00305176,0.000305176,-0.520935,-0.520935,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.356596,0.0701904,-0.106812,9.79919,-0.00305176,-0.00915527,-0.00610352,0.000305176,-0.520935,-0.520935,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.364678,0.0701904,-0.106812,9.79919,-0.00305176,-0.012207,-0.00305176,0.000305176,-0.130005,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.375713,0.0701904,-0.106812,9.79919,-0.00305176,-0.00915527,-0.00610352,0.000305176,-0.130005,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.385147,0.0732422,-0.106812,9.79614,0.00305176,-0.00915527,0,0.000305176,0.129089,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.392504,0.0732422,-0.106812,9.79614,0,-0.00610352,-0.00610352,0.000305176,0.129089,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.401713,0.0732422,-0.106812,9.79309,0,-0.00610352,-0.00610352,0.000305176,-0.26001,-0.26001,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.405363,0.0732422,-0.106812,9.79309,0,-0.00610352,-0.00305176,0.000305176,-0.26001,-0.26001,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.416519,0.0732422,-0.106812,9.79309,0,-0.00915527,-0.00305176,0.000305176,-0.26001,-0.26001,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.432272,0.0762939,-0.106812,9.79309,0,-0.00305176,-0.00610352,0.000305176,0.129089,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.436261,0.0762939,-0.106812,9.79309,-0.00305176,-0.00305176,-0.00610352,0.000305176,0.129089,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.451817,0.0793457,-0.106812,9.79309,0,-0.00305176,-0.00305176,0.000305176,-0.130005,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
0.455938,0.0793457,-0.106812,9.79309,0,-0.00305176,-0.00305176,0.000305176,-0.130005,0,0.531006,0.00457764,0.00457764,0.00457764,0.00457764,-0.00305176,-0.00305176,-0.00305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1
