Time,Accelerometer x,Accelerometer y,Accelerometer z,Rate gyro x,Rate gyro y,Rate gyro z,Height sensor,Optical flow x,Optical flow y,Battery voltage,Motor cmd 1,Motor cmd 2,Motor cmd 3,Motor cmd 4,Debug value 0,Debug value 1,Debug value 2,Debug value 3,Debug value 4,Debug value 5,Debug value 6,Debug value 7,Debug value 8,Debug value 9,Debug value 10,Debug value 11,Motors On,Debug char 
1.09431,-9.49402,0.161743,2.38647,0,-0.00305176,0,0.223999,0,0,3.70789,0.00457764,0.00457764,0.00457764,0.00457764,0.0152588,0.967407,0.839233,-1.02539,-60.4614,-1.68152,-0.0427246,-2.42004,-0.842285,nan,nan,nan,0,0
1.09834,-9.49402,0.161743,2.38647,0,-0.00610352,-0.00305176,0.223083,0,0,3.70789,0.00457764,0.00457764,0.00457764,0.00457764,0.0152588,0.967407,0.839233,-1.02844,-60.4187,-1.68152,-0.0427246,-2.42004,-0.842285,nan,nan,nan,0,0
1.10841,-0.204468,0.131226,9.76868,0.00305176,-0.00305176,-0.00305176,0.0500488,0,-0.130005,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0213623,-0.149536,-0.970459,-1.32141,0.296021,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.11675,-0.204468,0.131226,9.76868,0,-0.00610352,-0.00305176,0.0500488,0,0.129089,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0213623,-0.149536,-0.90332,-1.26648,0.296021,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.12295,-0.204468,0.128174,9.76868,0.00305176,-0.00610352,-0.00305176,0.0430298,0,0.129089,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0213623,-0.149536,-0.9552,-1.26343,0.296021,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.13647,-0.204468,0.128174,9.76868,0.00305176,-0.00610352,-0.00305176,0.0430298,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.939941,-1.20544,0.302124,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.1406,-0.204468,0.125122,9.76868,0.00305176,-0.00610352,-0.00305176,0.0360107,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.93689,-1.24512,0.299072,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.14901,-0.204468,0.125122,9.76562,0,-0.00305176,-0.00305176,0.0360107,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.918579,-1.297,0.296021,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.17574,-0.204468,0.128174,9.76562,0.00305176,0,0,0.0430298,0,0.388184,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.98877,-1.33972,0.292969,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.17918,-0.201416,0.128174,9.76562,0.00305176,-0.00305176,0,0.0430298,0,0,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.979614,-1.3092,0.289917,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.18736,-0.201416,0.131226,9.76562,0,-0.00610352,-0.00305176,0.0473022,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.906372,-1.18103,0.299072,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.1981,-0.198364,0.131226,9.76257,0.00305176,-0.00305176,0,0.0473022,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.961304,-1.27258,0.296021,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.21429,-0.198364,0.134277,9.76257,0.00305176,0,0,0.0390625,0,0,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.970459,-1.35193,0.292969,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.21849,-0.198364,0.134277,9.76257,0.00305176,-0.00305176,0,0.0390625,0,-0.130005,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.93689,-1.3031,0.292969,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.23132,-0.198364,0.137329,9.76257,0.00305176,0,0,0.0390625,0,-0.130005,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.93689,-1.32141,0.292969,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.24788,-0.198364,0.140381,9.76257,0,-0.00305176,-0.00305176,0.0350952,0,0,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.900269,-1.29089,0.299072,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.25913,-0.198364,0.140381,9.76257,0,-0.00610352,-0.00305176,0.0402832,-0.130005,0.129089,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.909424,-1.22986,0.299072,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.26333,-0.198364,0.140381,9.76257,0,-0.00610352,-0.00305176,0.0402832,-0.130005,0.129089,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.918579,-1.21155,0.299072,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.27234,-0.198364,0.140381,9.76257,0.00305176,-0.00305176,0,0.0402832,-0.130005,0.129089,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-1.01013,-1.24817,0.292969,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.2786,-0.198364,0.140381,9.76257,0.00305176,-0.00305176,0,0.0302124,0,0.129089,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.949097,-1.28174,0.292969,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.28426,-0.198364,0.140381,9.76257,0,0,0,0.0302124,0,0.129089,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.921631,-1.30005,0.292969,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.28791,-0.198364,0.140381,9.75952,0,0,-0.00305176,0.0302124,0,0.129089,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.927734,-1.33972,0.296021,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.29191,-0.198364,0.140381,9.75952,0,0,-0.00305176,0.0302124,0,0.129089,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.900269,-1.36414,0.299072,-0.0366211,-0.0549316,0.146484,nan,nan,nan,0,0
1.30306,-0.198364,0.140381,9.75952,0.00305176,-0.00610352,0,0.0372314,0,-0.130005,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.997925,-1.21155,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.30751,-0.198364,0.140381,9.75952,0.00305176,-0.00610352,0,0.0372314,0,-0.130005,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-1.01624,-1.19324,0.292969,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.31133,-0.201416,0.140381,9.75952,0,-0.00610352,-0.00305176,0.0372314,0,-0.130005,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.930786,-1.21155,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.31765,-0.201416,0.140381,9.75647,0,-0.00610352,-0.00305176,0.0372314,0,-0.130005,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.927734,-1.21765,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.32336,-0.201416,0.140381,9.75647,0.00305176,-0.00305176,0,0.0460815,0,-0.130005,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.961304,-1.28174,0.292969,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.33178,-0.201416,0.143433,9.75647,0,-0.00305176,0,0.0460815,0,-0.130005,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.942993,-1.28479,0.292969,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.34052,-0.201416,0.143433,9.75647,0,-0.00305176,0,0.0421143,0,0.129089,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.952148,-1.22681,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.35873,-0.204468,0.143433,9.75952,0,-0.00305176,-0.00305176,0.0411987,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.933838,-1.2207,0.299072,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.3649,-0.204468,0.143433,9.75952,0,-0.00305176,-0.00305176,0.0411987,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.942993,-1.24817,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.37698,-0.204468,0.143433,9.75952,0.00305176,-0.00610352,-0.00305176,0.0390625,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.98877,-1.20239,0.299072,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.3842,-0.201416,0.140381,9.75952,0,-0.00610352,-0.00305176,0.0390625,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.958252,-1.16882,0.299072,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.39816,-0.201416,0.140381,9.75952,0,-0.00305176,-0.00305176,0.0521851,0,-0.26001,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.946045,-1.26038,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.41012,-0.201416,0.140381,9.75952,0.00305176,-0.00305176,0,0.0521851,0,-0.26001,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.994873,-1.21765,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.4157,-0.201416,0.137329,9.75952,0.00305176,-0.00305176,0,0.0442505,-0.130005,0.389099,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.997925,-1.27869,0.292969,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.42507,-0.201416,0.137329,9.75952,0.00305176,0,0,0.0442505,-0.130005,0.389099,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-1.01929,-1.3092,0.292969,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.43884,-0.201416,0.137329,9.76257,0.00305176,-0.00305176,0,0.0372314,0.129089,-0.130005,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.994873,-1.27258,0.292969,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.4509,-0.201416,0.134277,9.75952,0.00305176,-0.00305176,0,0.0372314,0.129089,-0.130005,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-1.01929,-1.23291,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.45708,-0.201416,0.134277,9.75952,0.00305176,-0.00305176,-0.00305176,0.045166,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.979614,-1.26038,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.46791,-0.201416,0.131226,9.75952,0.00305176,-0.00305176,-0.00305176,0.045166,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.976562,-1.27258,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.47401,-0.201416,0.131226,9.75952,0.00305176,-0.00305176,0,0.045166,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.979614,-1.24512,0.292969,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.47838,-0.201416,0.131226,9.75952,0.00305176,-0.00305176,-0.00305176,0.0460815,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-1.01929,-1.22375,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.48708,-0.201416,0.131226,9.75952,0.00305176,-0.00610352,0,0.0460815,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-1.00403,-1.18408,0.292969,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.49095,-0.201416,0.131226,9.76257,0,-0.00610352,-0.00305176,0.0460815,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.958252,-1.20544,0.299072,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.49655,-0.201416,0.131226,9.76257,0,-0.00305176,-0.00305176,0.0411987,-0.130005,-0.130005,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.952148,-1.24207,0.299072,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.50098,-0.201416,0.131226,9.76257,0.00305176,-0.00610352,-0.00305176,0.0411987,-0.130005,-0.130005,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.967407,-1.19934,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.50744,-0.201416,0.131226,9.76257,0,-0.00610352,-0.00305176,0.0411987,-0.130005,-0.130005,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.946045,-1.15051,0.299072,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.51333,-0.201416,0.131226,9.76257,0,-0.00610352,-0.00305176,0.0402832,-0.130005,-0.130005,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.949097,-1.19019,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.52132,-0.201416,0.134277,9.76562,0,-0.00305176,-0.00305176,0.0402832,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.888062,-1.27258,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.52738,-0.201416,0.134277,9.76562,0,-0.00305176,-0.00305176,0.0402832,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.906372,-1.24512,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.53732,-0.201416,0.134277,9.76562,0.00305176,-0.00305176,0,0.0390625,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-1.00708,-1.25122,0.292969,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.54726,-0.201416,0.137329,9.76257,0,-0.00305176,-0.00305176,0.0390625,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.921631,-1.24817,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.55121,-0.201416,0.137329,9.76257,0,-0.00305176,-0.00305176,0.0390625,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.909424,-1.25122,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.56445,-0.201416,0.137329,9.76257,0,-0.00305176,-0.00305176,0.0531006,0,0.129089,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.912476,-1.24207,0.299072,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.57285,-0.201416,0.137329,9.76257,0,-0.00305176,-0.00305176,0.0320435,0,0.129089,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.946045,-1.25122,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.5765,-0.204468,0.137329,9.75952,0.00305176,-0.00305176,-0.00305176,0.0320435,0,0,3.70483,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.9552,-1.26343,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.5803,-0.204468,0.137329,9.75952,0.00305176,-0.00610352,-0.00305176,0.0320435,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.964355,-1.15051,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
1.59,-0.204468,0.137329,9.75952,0.00305176,-0.00915527,-0.00305176,0.0320435,0,0,3.69873,0.00457764,0.00457764,0.00457764,0.00457764,0.012207,0.0183105,-0.149536,-0.98877,-1.1261,0.296021,-0.0366211,-0.0518799,0.146484,nan,nan,nan,0,0
